District Number,School Number,District Name,School Name,Overall Composite,Literacy Composite,Numeracy Composite,Literacy and Numeracy Composite,Social Studies Composite
140,5,Clay County,Celina K-8,1,3,1,2,1
140,12,Clay County,Clay County High School,5,5,5,5,4
140,20,Clay County,Hermitage Springs Elementary School,1,2,1,1,2
150,5,Cocke County,Bridgeport Elementary,3,5,1,3,3
150,10,Cocke County,Centerview Elementary,1,2,2,1,2
150,15,Cocke County,Cocke Co High School,2,2,1,1,5
150,25,Cocke County,Cosby Elementary,2,3,2,2,3
150,27,Cocke County,Cosby High School,1,2,1,1,4
150,30,Cocke County,Del Rio Elementary,4,3,5,4,3
150,35,Cocke County,Edgemont Elementary,2,3,4,3,1
150,40,Cocke County,Grassy Fork Elementary,3,3,1,2,5
150,52,Cocke County,Northwest Elementary,1,2,1,1,1
150,55,Cocke County,Parrottsville Elementary,1,2,2,1,3
150,65,Cocke County,Smoky Mountain Elementary,3,3,5,4,2
151,5,Newport,Newport Grammar School,1,2,1,1,5
160,5,Coffee County,Coffee County Central High School,1,5,1,1,2
160,10,Coffee County,Coffee County Middle School,1,2,1,1,1
160,15,Coffee County,East Coffee Elementary,2,2,3,2,NA
160,20,Coffee County,Hickerson Elementary,2,4,1,2,NA
160,25,Coffee County,Hillsboro Elementary,5,5,5,5,NA
160,35,Coffee County,New Union Elementary,1,2,1,1,NA
160,40,Coffee County,North Coffee Elementary,3,4,3,3,NA
160,50,Coffee County,Deerfield Elementary School,3,3,3,3,NA
160,55,Coffee County,Coffee County Raider Academy,5,3,5,5,NA
161,5,Manchester,College Street Elementary,3,3,3,3,NA
161,10,Manchester,Westwood Elementary,3,4,1,3,NA
161,15,Manchester,Westwood Middle School,1,1,1,1,3
162,5,Tullahoma,Bel Aire Elementary,3,2,4,3,NA
162,15,Tullahoma,East Middle School,1,3,1,1,1
162,20,Tullahoma,East Lincoln Elementary,3,3,3,3,NA
162,23,Tullahoma,Jack T Farrar Elementary,3,1,5,3,NA
162,25,Tullahoma,Robert E Lee Elementary,4,3,5,4,NA
162,35,Tullahoma,Tullahoma High School,5,5,5,5,4
162,40,Tullahoma,West Middle School,1,1,2,1,1
170,3,Crockett County,Crockett County High School,1,1,1,1,3
170,12,Crockett County,Crockett County Middle School,4,1,5,3,5
170,20,Crockett County,Friendship Elementary,3,4,3,3,NA
170,25,Crockett County,Gadsden Elementary,3,4,3,3,NA
170,40,Crockett County,Maury City Elementary,2,2,3,2,NA
171,5,Alamo,Alamo Elementary,5,5,5,5,4
172,5,Bells,Bells Elementary,3,3,3,3,NA
180,8,Cumberland County,Frank P. Brown Elementary,2,2,2,2,4
180,10,Cumberland County,Homestead Elementary School,5,5,1,4,5
180,15,Cumberland County,Crab Orchard Elementary,1,1,2,1,1
180,25,Cumberland County,Cumberland County High School,2,1,3,1,5
180,33,Cumberland County,Glenn Martin Elementary,4,4,4,5,2
180,53,Cumberland County,North Cumberland Elementary,1,3,1,1,1
180,55,Cumberland County,Pine View Elementary,5,4,4,4,4
180,60,Cumberland County,Pleasant Hill Elementary,4,3,5,4,2
180,73,Cumberland County,South Cumberland Elementary,5,5,4,5,5
180,74,Cumberland County,Stone Elementary,4,5,3,5,3
180,79,Cumberland County,Stone Memorial High School,3,3,3,3,1
180,85,Cumberland County,The Phoenix School,1,2,2,1,1
190,1,Davidson County,A. Z. Kelley Elementary,3,4,1,3,NA
190,3,Davidson County,MNPS Virtual School,3,4,2,3,3
190,5,Davidson County,Alex Green Elementary,3,2,4,3,NA
190,10,Davidson County,Amqui Elementary,5,5,4,5,NA
190,15,Davidson County,Andrew Jackson Elementary,5,5,5,5,NA
190,20,Davidson County,Antioch High School,1,1,1,1,1
190,23,Davidson County,Antioch Middle,2,5,1,3,1
190,25,Davidson County,Apollo Middle,1,1,1,1,1
190,35,Davidson County,Moses McKissack Middle,1,1,1,1,1
190,40,Davidson County,Bellevue Middle,1,1,1,1,1
190,45,Davidson County,Bellshire Elementary,4,4,3,4,NA
190,53,Davidson County,Nashville Big Picture High School,2,3,1,3,2
190,70,Davidson County,Buena Vista Elementary,3,4,3,3,NA
190,77,Davidson County,Cane Ridge High School,1,3,1,1,1
190,80,Davidson County,Ida B. Wells Elementary,2,1,3,2,NA
190,82,Davidson County,Cane Ridge Elementary,5,5,3,5,NA
190,105,Davidson County,Chadwell Elementary,3,4,2,3,NA
190,110,Davidson County,Charlotte Park Elementary,3,2,3,3,NA
190,115,Davidson County,Eagle View Elementary School,5,5,5,5,NA
190,120,Davidson County,Cockrill Elementary,4,4,3,4,NA
190,126,Davidson County,W.A. Bass Alternative Learning Center,1,1,1,1,1
190,130,Davidson County,Cole Elementary,3,4,3,3,NA
190,140,Davidson County,Hattie Cotton Elementary,4,4,3,4,NA
190,145,Davidson County,Crieve Hall Elementary,4,4,3,4,NA
190,148,Davidson County,Croft Middle,1,1,1,1,1
190,150,Davidson County,Cumberland Elementary,5,5,5,5,NA
190,160,Davidson County,Dan Mills Elementary,5,4,5,5,NA
190,165,Davidson County,Dodson Elementary,3,4,3,3,NA
190,175,Davidson County,Donelson Middle,5,5,5,5,1
190,180,Davidson County,DuPont Elementary,2,3,2,2,NA
190,185,Davidson County,DuPont Tyler Middle,1,1,1,1,1
190,190,Davidson County,DuPont Hadley Middle,3,3,3,3,1
190,195,Davidson County,Eakin Elementary,5,4,5,5,NA
190,203,Davidson County,East Nashville Magnet High School,1,1,1,1,1
190,208,Davidson County,Thomas A. Edison Elementary,5,5,3,5,NA
190,220,Davidson County,Fall-Hamilton Elementary,1,3,1,1,NA
190,235,Davidson County,Gateway Elementary,5,5,5,5,NA
190,240,Davidson County,Glencliff Elementary,5,5,4,5,NA
190,245,Davidson County,Glencliff High School,1,1,1,1,1
190,250,Davidson County,Glendale Elementary,5,3,5,5,NA
190,255,Davidson County,Glengarry Elementary,4,5,3,4,NA
190,265,Davidson County,Glenview Elementary,4,5,2,4,NA
190,270,Davidson County,Goodlettsville Elementary,3,3,3,3,NA
190,275,Davidson County,Goodlettsville Middle,1,1,1,1,1
190,280,Davidson County,Gower Elementary,5,3,5,5,NA
190,285,Davidson County,Gra-Mar Middle,2,3,2,3,2
190,290,Davidson County,Granbery Elementary,5,5,5,5,NA
190,295,Davidson County,H. G. Hill Middle,5,5,5,5,1
190,296,Davidson County,East Nashville Middle,1,1,1,1,1
190,300,Davidson County,Harpeth Valley Elementary,4,3,5,4,NA
190,305,Davidson County,Haynes Middle,3,3,5,3,1
190,310,Davidson County,Haywood Elementary,3,5,1,3,NA
190,315,Davidson County,Head Middle,4,3,4,3,4
190,318,Davidson County,Henry C. Maxwell Elementary,4,3,4,4,NA
190,320,Davidson County,Hermitage Elementary,4,3,4,4,NA
190,327,Davidson County,Hickman Elementary,1,1,1,1,NA
190,330,Davidson County,Meigs Middle,3,1,5,4,1
190,335,Davidson County,Hillsboro High,1,1,2,1,1
190,340,Davidson County,Hillwood High,1,1,1,1,1
190,350,Davidson County,Hull-Jackson Elementary,1,1,1,1,NA
190,355,Davidson County,Hume - Fogg High,5,5,5,5,3
190,358,Davidson County,Hunters Lane High,1,1,3,1,1
190,360,Davidson County,Inglewood Elementary,1,2,1,1,NA
190,365,Davidson County,Isaac Litton Middle,3,3,3,2,3
190,370,Davidson County,J. E. Moss Elementary,4,5,1,4,NA
190,375,Davidson County,Jere Baxter Middle,1,1,1,1,1
190,380,Davidson County,Joelton Elementary,1,2,1,1,NA
190,385,Davidson County,Joelton Middle,1,1,5,2,1
190,386,Davidson County,John Early Middle,1,1,3,2,1
190,387,Davidson County,Jones Elementary,1,1,1,1,NA
190,390,Davidson County,John B. Whitsitt Elementary,5,3,5,5,NA
190,393,Davidson County,John F. Kennedy Middle,1,1,4,1,1
190,395,Davidson County,John Overton High,1,1,1,1,5
190,415,Davidson County,Julia Green Elementary,1,3,1,1,NA
190,420,Davidson County,Robert E. Lillard Elementary,3,3,4,3,NA
190,430,Davidson County,Lakeview Elementary,5,4,4,5,NA
190,435,Davidson County,Lockeland Elementary,5,5,3,5,NA
190,437,Davidson County,Middle College High,4,5,1,4,3
190,443,Davidson County,Cora Howe School,3,3,3,3,NA
190,445,Davidson County,Maplewood High,1,1,1,1,1
190,450,Davidson County,Margaret Allen Middle,3,3,3,3,3
190,456,Davidson County,Martin Luther King Jr School,5,5,5,5,5
190,465,Davidson County,McGavock Elementary,3,5,1,3,NA
190,470,Davidson County,McGavock High,1,2,1,1,1
190,480,Davidson County,McMurray Middle,5,5,5,5,5
190,490,Davidson County,John Trotwood Moore Middle,1,1,1,1,3
190,493,Davidson County,Mt. View Elementary,3,3,3,3,NA
190,505,Davidson County,Murrell at Glenn School,3,4,3,3,NA
190,510,Davidson County,Napier Elementary,5,5,3,5,NA
190,512,Davidson County,Nashville School Of The Arts,5,5,3,4,5
190,515,Davidson County,Neely's Bend Elementary,4,3,5,4,NA
190,525,Davidson County,Norman Binkley Elementary,5,5,3,5,NA
190,535,Davidson County,Old Center Elementary,4,5,3,4,NA
190,538,Davidson County,William Henry Oliver Middle,3,4,1,1,5
190,540,Davidson County,Paragon Mills Elementary,5,5,5,5,NA
190,545,Davidson County,Park Avenue Elementary,5,5,5,5,NA
190,555,Davidson County,Pearl-Cohn High,1,1,3,1,1
190,565,Davidson County,Pennington Elementary,5,4,4,5,NA
190,570,Davidson County,Percy Priest Elementary,4,3,5,4,NA
190,595,Davidson County,Rose Park Middle,1,1,2,1,1
190,600,Davidson County,Rosebank Elementary,3,3,3,3,NA
190,607,Davidson County,Ruby Major Elementary,5,5,5,5,NA
190,608,Davidson County,May Werthan Shayne Elementary School,3,4,3,3,NA
190,610,Davidson County,Shwab Elementary,5,4,5,5,NA
190,614,Davidson County,The Academy at Old Cockrill,5,NA,5,5,3
190,615,Davidson County,Stanford Elementary,5,3,5,5,NA
190,618,Davidson County,Robert Churchwell Elementary,5,3,5,5,NA
190,620,Davidson County,Stratford STEM Magnet School,1,1,3,1,1
190,622,Davidson County,Madison Middle,3,3,5,4,2
190,625,Davidson County,Stratton Elementary,5,5,4,5,NA
190,630,Davidson County,Sylvan Park Elementary,5,5,5,5,NA
190,633,Davidson County,Thurgood Marshall Middle,1,2,3,3,1
190,635,Davidson County,Tom Joy Elementary,5,4,5,5,NA
190,637,Davidson County,Tulip Grove Elementary,4,4,3,4,NA
190,645,Davidson County,Tusculum Elementary,5,5,5,5,NA
190,650,Davidson County,Two Rivers Middle,1,2,2,1,1
190,655,Davidson County,Una Elementary,3,3,2,3,NA
190,670,Davidson County,Carter-Lawrence Elementary,3,2,3,3,NA
190,675,Davidson County,Warner Elementary,5,5,5,5,NA
190,690,Davidson County,West End Middle,1,1,1,1,1
190,695,Davidson County,Westmeade Elementary,5,3,5,5,NA
190,700,Davidson County,Isaiah T. Creswell Middle School of the Arts,2,3,1,2,3
190,704,Davidson County,Whites Creek High,1,1,1,1,1
190,715,Davidson County,Wright Middle,3,2,3,2,5
190,740,Davidson County,Johnson Alternative Learning Center,1,1,1,1,1
190,745,Davidson County,The Cohn Learning Center,1,1,1,1,1
190,750,Davidson County,Smith Springs Elementary School,5,5,5,5,NA
190,755,Davidson County,Waverly-Belmont Elementary School,3,4,2,3,NA
190,8001,Davidson County,Smithson Craighead Academy,5,4,4,5,NA
190,8002,Davidson County,KIPP Academy Nashville,5,5,5,5,1
190,8003,Davidson County,Lead Academy,3,3,3,3,5
190,8005,Davidson County,Liberty Collegiate Academy,5,5,5,5,1
190,8006,Davidson County,STEM Prep Academy,5,5,3,5,5
190,8008,Davidson County,Nashville Prep,5,3,5,5,5
190,8009,Davidson County,East End Preparatory School,1,2,1,1,3
190,8010,Davidson County,Cameron College Preparatory,5,5,5,5,5
190,8011,Davidson County,KIPP Nashville Collegiate High School,1,4,1,1,2
190,8012,Davidson County,Knowledge Academy,4,3,4,4,3
190,8013,Davidson County,LEAD Prep Southeast,5,5,5,5,5
190,8042,Davidson County,KIPP Nashville College Prep,5,4,5,5,1
190,8044,Davidson County,Nashville Classical,3,4,3,3,NA
190,8045,Davidson County,Valor Flagship Academy,5,5,5,5,5
190,8046,Davidson County,Purpose Prep,2,4,1,2,NA
190,8048,Davidson County,Intrepid College Preparatory Charter School,2,5,1,1,4
190,8050,Davidson County,Rocketship Nashville Northeast Elementary,5,3,5,5,NA
190,8055,Davidson County,Nashville Academy of Computer Science,5,5,5,5,3
190,8065,Davidson County,Knowledge Academies High School,1,3,1,1,2
190,8070,Davidson County,Rocketship United,3,3,3,3,NA
190,8075,Davidson County,STEM Prep High School,3,3,5,4,1
190,8080,Davidson County,Valor Voyager Academy,5,5,5,5,5
190,8090,Davidson County,Strive Collegiate Academy,1,1,1,1,3
190,8095,Davidson County,KIPP Academy Nashville Elementary School,5,5,3,5,NA
190,8100,Davidson County,RePublic High School,1,1,1,1,3
190,8105,Davidson County,KA @ The Crossings,3,3,3,3,3
200,3,Decatur County,Riverside High School,4,4,4,4,4
200,5,Decatur County,Decaturville Elementary,3,3,3,3,NA
200,10,Decatur County,Parsons Elementary,4,3,4,4,NA
200,20,Decatur County,Decatur County Middle School,2,1,3,2,2
210,25,DeKalb County,De Kalb County High School,1,1,1,1,1
210,37,DeKalb County,DeKalb Middle School,3,1,5,4,2
210,40,DeKalb County,Northside Elementary,1,3,1,1,NA
210,50,DeKalb County,DeKalb West Elementary,2,2,2,2,3
220,5,Dickson County,Stuart Burns Elementary,4,3,4,4,NA
220,7,Dickson County,Charlotte Elementary,5,4,5,5,NA
220,8,Dickson County,Centennial Elementary,5,3,5,5,NA
220,15,Dickson County,Charlotte Middle School,5,2,5,5,3
220,17,Dickson County,Creek Wood High School,5,5,3,4,5
220,20,Dickson County,Dickson Elementary,3,4,3,3,NA
220,23,Dickson County,Dickson Middle School,5,1,5,5,5
220,25,Dickson County,Dickson County High School,3,2,2,2,5
220,28,Dickson County,The Discovery School,5,5,5,5,NA
220,30,Dickson County,Oakmont Elementary,1,2,1,1,NA
220,37,Dickson County,Dickson Intermediate School,1,3,1,1,5
220,40,Dickson County,Vanleer Elementary,3,3,3,3,NA
220,44,Dickson County,White Bluff Elementary,3,4,2,3,NA
220,50,Dickson County,W James Middle School,5,3,4,3,5
230,15,Dyer County,Northview Middle School,2,1,1,1,5
230,18,Dyer County,Dyer County High School,5,3,5,5,5
230,20,Dyer County,Fifth Consolidated School,1,1,2,1,NA
230,25,Dyer County,Finley Elementary,1,2,1,1,NA
230,30,Dyer County,Holice Powell Elementary,5,4,5,5,NA
230,35,Dyer County,Newbern Elementary School,2,2,2,2,NA
230,43,Dyer County,Three Oaks Middle School,1,1,1,1,1
230,45,Dyer County,Trimble Elementary,5,4,5,5,NA
231,12,Dyersburg,Dyersburg Intermediate School,4,3,5,4,NA
231,15,Dyersburg,Dyersburg High School,3,3,3,3,NA
231,21,Dyersburg,Dyersburg Middle School,5,3,5,4,5
240,18,Fayette County,East Jr. High School,3,3,4,4,2
240,26,Fayette County,Fayette Ware Comprehensive High School,5,5,4,5,1
240,46,Fayette County,La Grange Moscow Elementary,5,5,4,5,NA
240,60,Fayette County,Oakland Elementary,5,5,5,5,NA
240,70,Fayette County,Southwest Elementary,4,3,5,4,NA
240,90,Fayette County,West Junior High School,1,1,1,1,1
240,95,Fayette County,Buckley-Carpenter Elementary School,3,2,3,3,NA
250,5,Fentress County,Allardt Elementary,1,3,2,2,3
250,25,Fentress County,Clarkrange High School,5,3,4,4,5
250,33,Fentress County,South Fentress Elementary School,2,4,2,3,3
250,40,Fentress County,Pine Haven Elementary,1,3,2,2,3
250,60,Fentress County,York Elementary,3,4,3,3,3
260,15,Franklin County,Broadview Elementary,4,5,3,4,NA
260,30,Franklin County,Clark Memorial School,3,3,2,3,NA
260,35,Franklin County,Cowan Elementary,5,5,5,5,NA
260,40,Franklin County,Decherd Elementary,2,1,3,2,NA
260,50,Franklin County,Franklin Co High School,5,5,5,5,5
260,65,Franklin County,Huntland School,3,4,4,4,1
260,80,Franklin County,North Middle School,1,3,1,2,1
260,82,Franklin County,North Lake Elementary,4,3,4,4,NA
260,87,Franklin County,Rock Creek Elementary,1,1,2,1,NA
260,90,Franklin County,Sewanee Elementary,3,3,3,3,NA
260,115,Franklin County,South Middle School,1,1,1,1,2
271,20,Humboldt City,Humboldt Junior/Senior High School,1,1,1,1,1
271,27,Humboldt City,East Elementary School,1,3,1,1,5
272,10,Milan,Milan High School,3,3,3,3,NA
272,15,Milan,Milan Middle School,3,2,3,2,5
272,25,Milan,Milan Elementary,3,2,5,3,NA
273,5,Trenton,Peabody High School,1,3,1,1,5
273,10,Trenton,Trenton Middle School,1,1,3,1,1
273,15,Trenton,Trenton Elementary,3,3,3,3,NA
